IP Address,Device Family,Site
10.121.48.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 07579
10.121.16.66,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 01824
10.121.16.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 01824
10.121.8.66,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 07152
10.121.8.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 07152
10.120.248.66,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 07492
10.120.248.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/LCL Stores SK1/Store 07492
